Register #,Country,Other,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y,"""News"" if validated"
4214.0,Columbia,0,Chocó,News,2014-11-01,2014-12-14,44.0,44.0,0.0,heavy rain,1.0,406009.51,7.2519888827041505,-75.544,4.59198,News
4213.0,USA,0,"Bay Area, and Sacramento, north coastal California",News,2014-12-11,2014-12-14,4.0,3.0,0.0,torrential rain,1.0,50235.67,5.303072190207027,-123.101,39.7967,News
4212.0,Brazil,0,Eastern Sao Paulo,News,2014-12-10,2014-12-14,5.0,0.0,0.0,torrential rain,1.0,199807.2,5.999581138195603,-49.2145,-24.8513,News
4211.0,Bulgaria,Greece,Northern Greece and along the country's northeastern borders with Turkey; Bulgaria,News,2014-12-04,2014-12-14,11.0,40.0,1000.0,heavy rain,1.5,147616.57,6.386619054110543,27.7106,41.4579,News
4210.0,Palestine,0,Gaza,News,2014-11-26,2014-12-05,10.0,0.0,300.0,torrential rain,1.5,2861.66,4.632709292079925,34.4532,31.3378,News
4209.0,France,0,Southern France; Pyrenees-Orientales region,News,2014-11-29,2014-12-05,7.0,5.0,3000.0,torrential rain,1.5,123269.25,6.1120440527066,0.863937,43.999,News
4208.0,USA,0,Southern California,News,2014-12-01,2014-12-05,5.0,0.0,40.0,torrential rain,1.0,202666.27,6.005751478871099,-117.212,35.4299,News
4207.0,Morocco,0,"Southern Morocco, Marrakesh",News,2014-11-24,2014-12-05,12.0,40.0,0.0,heavy rain,2.0,273693.63,6.817475931383173,-5.61886,31.5566,News
4206.0,Thailand,0,Southern Thailand; Trang Province,News,2014-11-07,2014-11-16,10.0,0.0,1000.0,monsoonal rain,1.0,31653.08,5.500415975393605,99.5163,8.02409,News
4205.0,Italy,0,Northern Italy,News,2014-11-12,2014-11-16,5.0,5.0,0.0,torrential rain,1.5,36733.48,5.440123337209497,10.6129,45.9281,News
4204.0,Indonesia,0,West Sumatra Jumat ,News,2014-11-14,2014-11-16,3.0,0.0,2400.0,heavy rain,1.0,57442.62,5.23635549489529,100.753,-1.02615,News
4203.0,France,0,Southeastern France,News,2014-11-13,2014-11-16,4.0,5.0,0.0,heavy rain,1.5,36709.07,5.34292463246365,5.09507,44.2452,News
4202.0,Greece,0,Athens,News,2014-10-25,2014-10-27,3.0,0.0,0.0,"torrential rain, tropical storm gon",1.0,4855.4,4.163346268703524,23.4176,38.1738,News
4201.0,Somalia,Ethiopia,"Shabelle River, Heran Province",News,2014-10-24,2014-11-16,24.0,0.0,21000.0,heavy rain,1.5,42635.81,6.186077018941274,45.2538,4.13428,News
4200.0,India,Sri Lanka,Southern India,News,2014-10-22,2014-10-27,6.0,5.0,300.0,monsoonal rain,1.0,115476.31,5.840644148104949,78.2616,10.2916,News
4199.0,Spain,0,"Canary Islands, Tenerife",News,2014-10-19,2014-10-22,4.0,1.0,0.0,torrential rain,1.0,7566.97,4.480982003495571,-16.5329,28.2782,News
