Main cause,Count of Register #
heavy rain,2590
monsoonal rain,356
torrential rain,347
tropical cyclone,328
brief torrential rain,210
snowmelt,71
rain and snowmelt,47
"dam levy, break or release",42
ice jam break-up,25
extra-tropical cyclone,19
missing data,17
heavy rain and snowmelt,9
tropical storm,7
ice jams,4
heavy monsoon rain,3
tidal surge,3
tropical storm fung-wong,3
avalanche related,2
"dam break, heavy rain",2
heavy rain and snow,2
heavy rain snowmelt dam b,2
heavy seasonal rain,2
storm surge,2
torrential rain and mudslides,2
"tropical cyclone, morakot",2
tropical storm chanthu,2
tropical storm fay,2
tropical storm ike,2
tropical storm kammuri,2
tropical storm mahasen,2
"tropical storm, monsoonal rain",2
tsunami,2
avalanche breach,1
"cylone tasha, monsoon rain, cyclone",1
dam break,1
"dam break, snowmelt, heavy rain",1
dam failure,1
"dam failure, heavy rain",1
dam release,1
dam release and heavy ra,1
dam release and heavy rain,1
"dam releases, monsoonal rain",1
heavy rain and dam break,1
heavy rain and high tide,1
heavy rain and storm surge,1
"heavy rain, dam release",1
"heavy rain, tropical cycl",1
"heavy rain,and dam release",1
high tides,1
hurricane gustav,1
hurricane isaac,1
hurricane tomas,1
ice jam and ice melt,1
ice jam or ice break-up,1
jökulhlaup,1
levee failure,1
"levee failure, early monsoonal rain",1
monsoon rain,1
monsoonal rain and offshore tropica,1
"monsoonal rain, tropical storm rust",1
monsoonal rainfall,1
rain and snow,1
rainy season,1
see notes,1
snowmelt and heavy rain,1
storm surge and heavy rai,1
"torrential rain, hgh tides",1
"torrential rain, tropical storm gon",1
tropical cyclone agatha,1
tropical cyclone alex,1
tropical cyclone dolly,1
tropical cyclone phet,1
"tropical cyclone, etau",1
tropical depressions,1
tropical storm aere,1
tropical storm and heavy rain,1
tropical storm arlene,1
tropical storm arthur,1
tropical storm auring,1
tropical storm basyang,1
tropical storm bopha,1
tropical storm boris,1
"tropical storm charlotte, monsoon r",1
tropical storm cristobal,1
"tropical storm dando, funso",1
tropical storm debby,1
"tropical storm dominic, heavy rain",1
tropical storm fanapi,1
tropical storm fanele,1
tropical storm fenshen,1
tropical storm fitow,1
tropical storm fletcher,1
tropical storm gustav,1
tropical storm hagupit,1
tropical storm haima,1
tropical storm haiyan yolanda,1
tropical storm hermine,1
tropical storm hudhug,1
tropical storm ida,1
tropical storm irene,1
tropical storm irina,1
tropical storm isaac,1
"tropical storm jova, heavy rain",1
tropical storm kalmaegi,1
"tropical storm kammuri, heavy monso",1
tropical storm ketsana,1
tropical storm ketsana on,1
tropical storm matthew,1
tropical storm mick,1
tropical storm mirinae,1
tropical storm nari,1
tropical storm nesat,1
tropical storm nicole,1
tropical storm nilam,1
tropical storm noul,1
tropical storm oswald,1
tropical storm phailin,1
tropical storm sandy,1
tropical storm saola,1
tropical storm sinlaku,1
tropical storm son-tinh,1
tropical storm sulik,1
tropical storm trudy,1
tropical storm utor,1
tropical storm washi,1
tropical storm wilma,1
tropical storm-emily,1
tropical stroms pendring and nalgae,1
typhoon fenshen,1
typhoon melor,1
typhoon parma,1
typhoon rammasun,1
typhoons damrey and saola,1
